"TCL Mobile Phones","","",""
"Tecno Mobile Phones","","",""
"Tonino Lamborghini Mobile Phones","","",""
"Turing Mobile Phones","","",""
"Umi Mobile Phones","","",""
"Unihertz Mobile Phones","","",""
"Vaio Mobile Phones","","",""
"Vertu Mobile Phones","","",""
"Viaan Mobile Phones","","",""
"Videocon Mobile Phones","","",""
"Vivo Mobile Phones","","",""
"Vodafone Mobile Phones","","",""
"Wickedleak Mobile Phones","","",""
"Wiio Mobile Phones","","",""
"Xiaomi Mobile Phones","","",""
"Xolo Mobile Phones","","",""
"Yamada Denki Mobile Phones","","",""
"Yandex Mobile Phones","","",""
"Yota Devices Mobile Phones","","",""
"Yu Mobile Phones","","",""
"Zen Mobile Phones","","",""
"Ziox Mobile Phones","","",""
"Zopo Mobile Phones","","",""
"ZTE Mobile Phones","","",""
"Zuk Mobile Phones","","",""
"Zync Mobile Phones","","",""
